side-lines,February 5,A1
Olym-pics,February 5,A1
solidari-ty,February 5,A1
calibrat-ed,February 5,A1
state-ment,February 5,A1
impass-es,February 5,A1
ad-dressing,February 5,A1
not-so-subtle,February 5,A1
divi-sion,February 5,A1
al-most,February 5,A1
oth-er,February 5,A1
summa-ry,February 5,A1
gover-nor,February 5,A1
di-matteo,February 5,A1
young-kin's,February 5,A1
vir-ginia,February 5,A1
in-cluding,February 5,A1
re-quiring,February 5,A1
be-cause,February 5,A1
re-publican,February 5,A1
presi-dent,February 5,A1
overwhelm-ingly,February 5,A1
repub-licans,February 5,A1
uncharac-teristically,February 5,A1
conserva-tive,February 5,A1
ran-sacked,February 5,A1
republi-can,February 5,A1
un-precedented,February 5,A1
con-demning,February 5,A1
law-makers,February 5,A1
wyo-ming,February 5,A1
illi-nois,February 5,A1
mcdan-iel,February 5,A1
overwhelm-ing,February 5,A1
specta-tors,February 5,A1
nation-al,February 5,A1
look-ing,February 5,A1
janu-ary,February 5,A1
accord-ing,February 5,A1
econ-omy,February 5,A1
pres-ident,February 5,A1
con-victed,February 5,A2
aggravat-ed,February 5,A2
surren-der,February 5,A2
pend-ing,February 5,A2
for-ward,February 5,A2
court-room,February 5,A2
initial-ly,February 5,A2
trans-fers,February 5,A2
con-trolled,February 5,A2
kead-ing,February 5,A2
repre-senting,February 5,A2
co-hen,February 5,A2
al-leged,February 5,A2
cam-paign,February 5,A2
alleg-edly,February 5,A2
under-stand,February 5,A2
eve-ning,February 5,A2
man-hattan,February 5,A2
wil-liams,February 5,A2
ad-vance,February 5,A2
contradict-ed,February 5,A2
as-surances,February 5,A2
dan-iels,February 5,A2
prof-its,February 5,A2
specta-cle,February 5,A2
objec-tions,February 5,A2
teen-ager,February 5,A2
an-other,February 5,A2
at-tempting,February 5,A2
pend-ing,February 5,A2
un-done,February 5,A2
misdemean-or,February 5,A2
crit-ics,February 5,A2
distribut-ed,February 5,A2
blue-print,February 5,A2
cer-tain,February 5,A2
clari-fication,February 5,A2
po-lice,February 5,A2
fu-neral,February 5,A2
dis-trict,February 5,A2
cus-tody,February 5,A2
op-tion,February 5,A2
confron-tations,February 5,A2
commis-sioner,February 5,A2
prosecu-tors,February 5,A2
lar-ceny,February 5,A2
com-mercial,February 5,A2
ad-dress,February 5,A2
resi-dential,February 5,A2
circum-stances,February 5,A2
consider-ations,February 5,A2
involv-ing,February 5,A2
frame-work,February 5,A2
marijua-na,February 5,A2
pros-ecutor,February 5,A2
posi-tioned,February 5,A2
pro-gressive,February 5,A2
popu-lations,February 5,A2
pro-mote,February 5,A2
am-plify,February 5,A2
pend-ing,February 5,A2
mcmi-chael,February 5,A3
pris-on,February 5,A3
feder-al,February 5,A3
mcmi-chaels,February 5,A3
al-lowed,February 5,A3
ar-bery's,February 5,A3
ar-rangement,February 5,A3
reject-ed,February 5,A3
defen-dants,February 5,A3
ar-gues,February 5,A3
tra-vis,February 5,A3
pros-ecutors,February 5,A3
fam-ily,February 5,A3
vali-date,February 5,A3
pre-ferred,February 5,A3
pros-ecutor,February 5,A3
wish-es,February 5,A3
out-lined,February 5,A3
mon-day,February 5,A3
neigh-bor,February 5,A3
n-word,February 5,A3
pro-viders,February 5,A3
con-sidered,February 5,A3
un-der,February 5,A3
stan-dards,February 5,A3
feed-ing,February 5,A3
flexi-bility,February 5,A3
pan-demic,February 5,A3
essen-tial,February 5,A3
vi-tal,February 5,A3
mil-lion,February 5,A3
disproportionate-ly,February 5,A3
learn-ing,February 5,A3
spe-cific,February 5,A3
vegeta-ble,February 5,A3
associa-tion,February 5,A3
disrup-tions,February 5,A3
ap-proach,February 5,A3
nutri-tion,February 5,A3
realiza-tion,February 5,A3
circum-stances,February 5,A3
strength-ening,February 5,A3
for-ward,February 5,A3
ad-ministration's,February 5,A3
volun-tary,February 5,A3
pre-pared,February 5,A3
com-missioner,February 5,A3
diet-re-lated,February 5,A3
dis-proportionate,February 5,A3
experi-enced,February 5,A3
cen-ter,February 5,A3
com-petitive,February 5,A4
poten-tially,February 5,A4
ca-pabilities,February 5,A4
